SRC,Name,S1,S2,S3,TYPE,DST
0,root.features.0.0,48.10606003,352.9412231,26.74247551,CONV,1
1,root.features.1.conv.0.0,26.74247551,8.492102623,21.16666794,CONV,2
2,root.features.1.conv.0,21.16666794,123.6195297,15.12073231,CONV,3
3,root.features.2.conv.0.0,15.12073231,210.7337952,21.16666794,CONV,4
4,root.features.2.conv.1.0,21.16666794,20.13194466,21.16666794,CONV,5
5,root.features.2.conv.0,21.16666794,168.1761017,22.88331032,CONV,6
6,root.features.3.conv.0.0,22.88331032,382.6888428,42.82021332,CONV,7
7,root.features.3.conv.1.0,42.82021332,26.64044952,25.22181892,CONV,8
8,root.features.3.conv.0,25.22181892,104.7967911,14.27901936,CONV,9
9,root.features.3.0,22.88331032,14.27901936,11.83443451,ADD,10
10,root.features.4.conv.0.0,11.83443451,403.1981201,32.73295975,CONV,11
11,root.features.4.conv.1.0,32.73295975,21.50569534,30.1169796,CONV,12
12,root.features.4.conv.0,30.1169796,146.3036804,26.25646591,CONV,13
13,root.features.5.conv.0.0,26.25646591,660.6716919,58.97039413,CONV,14
14,root.features.5.conv.1.0,58.97039413,19.33550453,38.42330551,CONV,15
15,root.features.5.conv.0,38.42330551,154.6089783,28.10062218,CONV,16
16,root.features.5.0,26.25646591,28.10062218,17.65662003,ADD,17
17,root.features.6.conv.0.0,17.65662003,821.7481079,64.03396606,CONV,18
18,root.features.6.conv.1.0,64.03396606,25.38095093,38.99251556,CONV,19
19,root.features.6.conv.0,38.99251556,135.4462738,30.04337883,CONV,20
20,root.features.6.0,17.65662003,30.04337883,18.09374237,ADD,21
21,root.features.7.conv.0.0,18.09374237,583.7113647,44.51221466,CONV,22
22,root.features.7.conv.1.0,44.51221466,52.22940445,26.4842701,CONV,23
23,root.features.7.conv.0,26.4842701,183.7173157,31.21011925,CONV,24
24,root.features.8.conv.0.0,31.21011925,894.9510498,100.0171051,CONV,25
25,root.features.8.conv.1.0,100.0171051,22.96675682,54.78115463,CONV,26
26,root.features.8.conv.0,54.78115463,182.1691589,45.63152695,CONV,27
27,root.features.8.0,31.21011925,45.63152695,28.87888336,ADD,28
28,root.features.9.conv.0.0,28.87888336,1177.551147,95.64466858,CONV,29
29,root.features.9.conv.1.0,95.64466858,11.23953152,64.70185089,CONV,30
30,root.features.9.conv.0,64.70185089,182.2601166,55.83116531,CONV,31
31,root.features.9.0,28.87888336,55.83116531,29.35831833,ADD,32
32,root.features.10.conv.0.0,29.35831833,1205.803955,82.63343811,CONV,33
33,root.features.10.conv.1.0,82.63343811,25.21195793,23.42063522,CONV,34
34,root.features.10.conv.0,23.42063522,159.0336304,24.56454468,CONV,35
35,root.features.10.0,29.35831833,24.56454468,23.39448738,ADD,36
36,root.features.11.conv.0.0,23.39448738,906.6514282,70.6223526,CONV,37
37,root.features.11.conv.1.0,70.6223526,19.64342499,36.93754196,CONV,38
38,root.features.11.conv.0,36.93754196,204.9583282,38.00495911,CONV,39
39,root.features.12.conv.0.0,38.00495911,766.8010864,74.76044464,CONV,40
40,root.features.12.conv.1.0,74.76044464,12.95930958,21.16666794,CONV,41
41,root.features.12.conv.0,21.16666794,254.847702,31.50110054,CONV,42
42,root.features.12.0,38.00495911,31.50110054,27.34806252,ADD,43
43,root.features.13.conv.0.0,27.34806252,583.9267578,25.59277344,CONV,44
44,root.features.13.conv.1.0,25.59277344,14.93134499,21.16666794,CONV,45
45,root.features.13.conv.0,21.16666794,102.4200439,13.99667072,CONV,46
46,root.features.13.0,27.34806252,13.99667072,13.60650921,ADD,47
47,root.features.14.conv.0.0,13.60650921,705.0488892,33.84427643,CONV,48
48,root.features.14.conv.1.0,33.84427643,54.99816895,21.16666794,CONV,49
49,root.features.14.conv.0,21.16666794,398.7265015,12.14496708,CONV,50
50,root.features.15.conv.0.0,12.14496708,346.0480347,23.32425117,CONV,51
51,root.features.15.conv.1.0,23.32425117,12.83880997,21.23848343,CONV,52
52,root.features.15.conv.0,21.23848343,391.4881287,12.80522251,CONV,53
53,root.features.15.0,12.14496708,12.80522251,7.421411037,ADD,54
54,root.features.16.conv.0.0,7.421411037,593.9508057,24.0729332,CONV,55
55,root.features.16.conv.1.0,24.0729332,17.32941055,21.16666794,CONV,56
56,root.features.16.conv.0,21.16666794,209.8803101,6.593333721,CONV,57
57,root.features.16.0,7.421411037,6.593333721,3.587590456,ADD,58
58,root.features.17.conv.0.0,3.587590456,963.2067261,32.42980576,CONV,59
59,root.features.17.conv.1.0,32.42980576,14.19838524,24.78143501,CONV,60
60,root.features.17.conv.0,24.78143501,198.5579071,54.6898613,CONV,61
61,root.features.18.0,54.6898613,72.95671082,25.23929977,CONV,62
62,root.classifier.1.0,25.23929977,383.8813171,26.23929977,CONV,0
